Name	Type	Url	Location	Operated By	Funded By
Hubble Space Telescope	Space Telescope	https://en.wikipedia.org/wiki/Hubble_Space_Telescope	Space	NASA	
LIGO Hanford	Gravity Wave Observatory	https://www.ligo.caltech.edu/WA	Richland, WA, USA	Caltech	National Science Foundation
LIGO Livingston	Gravity Wave Observatory	https://www.ligo.caltech.edu/LA	Livingston, LA, USA	MIT	National Science Foundation
Gran Telescopio Canarias (GTC)	Astronomical Observatory	http://www.gtc.iac.es/gtc/gtc.php	La Palma, Garafía, Spain 	IAC	"Observatorio Astronómico de Canarias
National Autonomous University of Mexico
University of Florida Edit this on Wikidata"
Hobby–Eberly Telescope	Astronomical Observatory	http://mcdonaldobservatory.org/research/telescopes/HET	Davis Mountains, Texas, US	"University, Stanford University, 
Ludwig Maximilians University of Munich, 
and Georg August University of Göttingen"	YarCom® Inc. and the Lott family 
W. M. Keck Observatory	Astronomical Observatory	http://www.keckobservatory.org/	Waimea,Hawaii, USA	California Association for Research in Astronomy,	W. M. Keck Foundation
Southern African Large Telescope	Astronomical Observatory	http://www.salt.ac.za/	Sutherland, Northern Cape, South Africa	 National Research Foundation of South Africa	"International partners from South Africa, the United States, Germany, Poland, India, the United Kingdom and New Zealand
"
National Research Foundation of South Africa	Astronomical Observatory	http://www.lbto.org/	Mount Graham, Arizona, USA	University of Arizona	"University of Arizona, Beteiligungsgesellschaft,Instituto Nazionale di Astrofisica,Research Corporation for Science Advancement and Ohio State University

"
Subaru Telescope	Astronomical Observatory	https://www.naoj.org/	Mauna Kea, Hawaii, US	National Astronomical Observatory of Japan	National Astronomical Observatory of Japan
VLT UT1 – Antu	Astronomical Observatory	http://www.eso.org/public/teles-instr/paranal-observatory/vlt/	Antofagasta Region, Chile	European Southern Observatory	European Southern Observatory
VLT UT2 – Kueyen	Astronomical Observatory	http://www.eso.org/public/teles-instr/paranal-observatory/vlt/	Antofagasta Region, Chile	European Southern Observatory	European Southern Observatory
VLT UT3 – Melipal	Astronomical Observatory	http://www.eso.org/public/teles-instr/paranal-observatory/vlt/	Antofagasta Region, Chile	European Southern Observatory	European Southern Observatory
VLT UT4 – Yepun	Astronomical Observatory	http://www.eso.org/public/teles-instr/paranal-observatory/vlt/	Antofagasta Region, Chile	European Southern Observatory	European Southern Observatory
Gemini North	Astronomical Observatory	http://www.gemini.edu/	Mauna Kea Observatories, Hawaii, USA	Association of Universities for Research in Astronomy (AURA)	National Science Foundation
Gemini South	Astronomical Observatory	http://www.gemini.edu/	Cerro Pachón (CTIO), Coquimbo Region, Chile	Association of Universities for Research in Astronomy (AURA)	National Science Foundation
MMT	Astronomical Observatory	https://www.mmto.org/	F. L. Whipple Obs., Arizona, USA	MMT Observatory	The Smithsonian Institution, The University of Arizona.
Magellan 1 (Walter Baade)	Astronomical Observatory	http://www.lco.cl/telescopes-information/magellan/	Atacama Region, Chile	Carnegie Institution for Science, University of Arizona, Harvard University, The University of Michigan and the Massachusetts Institute of Technology	Carnegie Institution for Science, University of Arizona, Harvard University, The University of Michigan and the Massachusetts Institute of Technology
Magellan 2 (Landon Clay)	Astronomical Observatory	http://www.lco.cl/telescopes-information/magellan/	Atacama Region, Chile	Carnegie Institution for Science, University of Arizona, Harvard University, The University of Michigan and the Massachusetts Institute of Technology	Carnegie Institution for Science, University of Arizona, Harvard University, The University of Michigan and the Massachusetts Institute of Technology
BTA-6	Astronomical Observatory	http://w0.sao.ru/Doc-en/Telescopes/bta/descrip.html	Caucasus Mountains, Zelenchuksky, Russia	Special Astrophysical Observatory RAS	Special Astrophysical Observatory RAS
Large Zenith Telescope	Astronomical Observatory	http://www.astro.ubc.ca/lmt/lzt/	British Columbia, Canada	Laval University and the Institut d'Astrophysique de Paris.	Natural Sciences and Engineering Research Council of Canada
Hale Telescope	Astronomical Observatory	http://www.astro.caltech.edu/palomar/about/telescopes/hale.html	Palomar Mountain, California, USA	Caltech	Caltech
Large Sky Area Multi-Object Fibre Spectroscopic Telescope	Astronomical Observatory	http://www.lamost.org/public/?locale=en	ChaoYang District, Beijing	Chinese Academy of Science	National Astronomical Observatory, China
Discovery Channel Telescope	Astronomical Observatory	https://lowell.edu/research/research-facilities/4-3-meter-dct/	Coconino National Forest, Arizona, US	 Lowell Observatory	Lowell Observatory and The Discovery Channel
William Herschel Telescope (WHT) 	Astronomical Observatory	http://www.ing.iac.es/Astronomy/telescopes/wht/	La Palma, Spain	UK Science and Technology Facilities Council (STFC) the Nederlanse Organisatie voor Wetenschappelijk Onderzoek (NWO), and the Instituto de Astrofísica de Canarias (IAC)	Isaac Newton Group of Telescopes (ING)
Southern Astrophysical Research Telescope	Astronomical Observatory	http://www.ctio.noao.edu/soar/	Coquimbo Region, Chile	Countries of Brazil and Chile, Michigan State University, the Cerro Tololo Inter-American Observatory (CTIO) (part of the National Optical Astronomy Observatory, NOAO), and the University of North Carolina at Chapel Hill	Countries of Brazil and Chile, Michigan State University, the Cerro Tololo Inter-American Observatory (CTIO) (part of the National Optical Astronomy Observatory, NOAO), and the University of North Carolina at Chapel Hill
Visible and Infrared Survey Telescope for Astronomy	Astronomical Observatory	http://www.vista.ac.uk/	Antofagasta Region, Chile	European Southern Observatory	European Southern Observatory
Víctor M. Blanco Telescope	Astronomical Observatory	http://www.ctio.noao.edu/noao/content/Victor-Blanco-4-m-Telescope	Cerro Tololo Inter-American Observatory, Chile	National Optical Astronomy Observatory	National Optical Astronomy Observatory
Nicholas U. Mayall Telescope	Astronomical Observatory	https://www.noao.edu/outreach/kptour/mayall.html	Kitt Peak, Arizona, US	National Optical Astronomy Observatory	National Optical Astronomy Observatory
Anglo-Australian Telescope	Astronomical Observatory	https://www.aao.gov.au/about-us/anglo-australian-telescope	Siding Spring Observatory, New South Wales, Australia 	 Australian Astronomical Observatory	 Australian Astronomical Observatory
3.67 m Advanced Electro Optical System Telescope	Astronomical Observatory	http://www.globalsecurity.org/space/systems/aeos.htm	Hawaii, US	Haleakala Observatory	Department of Defense
3.6 m Devasthal Optical Telescope	Astronomical Observatory	http://www.aries.res.in/dot/	Devasthal Observatory site near Nainital, India	Aryabhatta Research Institute of Observational Sciences(ARIES)	Aryabhatta Research Institute of Observational Sciences(ARIES)
Galileo National Telescope	Astronomical Observatory	http://www.tng.iac.es/	La Palma, Spain	Fundación Galileo Galilei, Fundación Canaria	 Italian National Institute of Astrophysics (INAF)
New Technology Telescope	Astronomical Observatory	http://www.eso.org/sci/facilities/lasilla/telescopes/ntt.html	Atacama Desert, Chile 	European Southern Observatory	European Southern Observatory
Canada–France–Hawaii Telescope	Astronomical Observatory	http://www.cfht.hawaii.edu/	Mauna Kea Observatories, Hawaii, USA	 Mauna Kea Observatories	"CNRS
National Research Council
University of Hawaii"
ESO 3.6 m Telescope	Astronomical Observatory	http://www.eso.org/sci/facilities/lasilla/telescopes/3p6.html	Coquimbo Region, Chile	European Southern Observatory	European Southern Observatory
Calar Alto Observatory	Astronomical Observatory	http://www.caha.es/	Almería, Spain	"Institute of Astrophysics of Andalusia
Max Planck Institute for Astronomy"	 Max Planck Institute for Astronomy
WIYN Observatory	Astronomical Observatory	https://www.noao.edu/wiyn/	Kitt Peak, Arizona, US	 National Optical Astronomy Observatory	 University of Wisconsin–Madison, Indiana University, and Yale University
NASA Infrared Telescope Facility	Astronomical Observatory	http://irtfweb.ifa.hawaii.edu/	Mauna Kea, Hawaii, US	University of Hawaii 	NASA
NASA Orbital Debris Observatory	Astronomical Observatory	https://en.wikipedia.org/wiki/NASA_Orbital_Debris_Observatory	Cloudcroft, New Mexico	NASA	
Harlan J. Smith Telescope	Astronomical Observatory	http://mcdonaldobservatory.org/research/telescopes/HJSmith	Texas, US	McDonald Observatory	NASA
VLT Survey Telescope	Astronomical Observatory	https://www.eso.org/sci/facilities/paranal/telescopes/vst.html	Atacama Desert, Chile 	Paranal Observatory	European Southern Observatory
Nordic Optical Telescope	Astronomical Observatory	http://www.not.iac.es/	La Palma, Canary Islands, Spain	Roque de los Muchachos Observatory	Denmark, Sweden, Norway, Finland, and (since 1997) Iceland.
Isaac Newton Telescope	Astronomical Observatory	http://www.ing.iac.es/Astronomy/telescopes/int/index.html	La Palma, Spain	Isaac Newton Group of Telescopes	Isaac Newton Group of Telescopes
Atacama Large Millimeter Array	Astronomical Observatory	http://www.almaobservatory.org/	Atacama Desert, Chile	Llano de Chajnantor Observatory	"European Southern Observatory
National Institutes of Natural Sciences, Japan
National Science Foundation"
Chandra X-ray Observatory	Space Observatory	http://chandra.harvard.edu/	Space	NASA / SAO / CXC	
Spitzer Space Telescope	Space Telescope	http://www.spitzer.caltech.edu/	Space	NASA / JPL / Caltech	
Herschel Space Observatory	Space Telescope	http://www.esa.int/Our_Activities/Space_Science/Herschel	Space	ESA / NASA	
Planck (spacecraft)	Space Observatory	http://www.esa.int/planck	Space	ESA	
Kepler (spacecraft)	Space Observatory	https://www.nasa.gov/mission_pages/kepler/main/index.html	Space	NASA / LASP	
INTErnational Gamma-Ray Astrophysics Laboratory (INTEGRAL)	Space Telescope	http://sci.esa.int/integral/	Space	ESA  / RKA  / NASA	
Galaxy Evolution Explorer (GALEX)	Space Telescope	http://www.galex.caltech.edu/	Space	"NASA / JPL
Caltech"	
COROT	Space Observatory	smsc.cnes.fr/COROT	Space	CNES / ESA	
STEREO (Solar Terrestrial Relations Observatory)	Solar Observation	https://stereo.gsfc.nasa.gov/	Space	NASA	
Microvariability and Oscillations of STars	Space Telescope	https://web.archive.org/web/20090623071558/http://www.astro.ubc.ca/MOST/index.html	Space	CSA	
Akari (ASTRO-F)	Space Telescope	http://global.jaxa.jp/projects/sat/astro_f/	Space	JAXA 	
James Webb Space Telescope	Space Telescope	https://www.jwst.nasa.gov/	Space	NASA / ESA / CSA / STScI	
Astrosat	Space Observatory	http://astrosat.iucaa.in/	Space	ISRO	
Gaia (spacecraft)	Space Observatory	http://sci.esa.int/gaia/	Space	ESA	
Yerkes Observatory	Astronomical Observatory	http://astro.uchicago.edu/yerkes/	Williams Bay, Wisconsin, US	University of Chicago	Charles T. Yerkes
Swedish 1-m Solar Telescope	Astronomical Observatory	http://www.isf.astro.su.se/	La Palma, Spain	Institute for Solar Physics	Institute for Solar Physics, Royal Swedish Academy of Sciences
James Lick telescope	Astronomical Observatory	http://www.ucolick.org/main/science/telescopes/refractor.html	Mount Hamilton, California, US	University of California	James Lick
Paris Observatory	Astronomical Observatory	https://www.obspm.fr/?lang=fr	Paris, France	 PSL Research University	 PSL Research University
Mount Wilson Observatory	Astronomical Observatory	https://www.mtwilson.edu/	Mount Wilson, California, USA	Carnegie Institution for Science	Carnegie Institution of Washington
MDM Observatory	Astronomical Observatory	https://dept.astro.lsa.umich.edu/obs/mdm/	Kitt Peak, Arizona, USA	University of Michigan, Dartmouth College, Ohio State University, Columbia University, and Ohio University	University of Michigan, Dartmouth College, Ohio State University, Columbia University, and Ohio University
Magdalena Ridge Observatory (MRO)	Astronomical Observatory	http://www.mro.nmt.edu/	Socorro County, New Mexico, US	New Mexico Institute of Mining and Technology(New Mexico Tech – NMT) and the Cavendish Astrophysics Group of University of Cambridge	United States Naval Research Laboratory (NRL)
Automated Planet Finder Telescope (APF)	Astronomical Observatory	https://www.ucolick.org/public/telescopes/apf.html	California, US	Lick Observatory	Gloria and Kenneth Levy
Aristarchos 2.3 m Telescope	Astronomical Observatory	http://helmos.astro.noa.gr/	Greece	Institute for Astronomy, Astrophysics, Space Applications and Remote Sensing (IAASARS)	European Commission and the General Secretariat for Research and Technology of the Hellenic Ministry of Development
Wyoming Infrared Observatory (WIRO	Astronomical Observatory	http://physics.uwyo.edu/~WIRO/	Laramie, Wyoming	University of Wyoming	University of Wyoming
Siding Spring 2.3 m Telescope	Astronomical Observatory	http://rsaa.anu.edu.au/observatories/telescopes/anu-23m-telescope	New South Wales, Australia	Australian National University	Australian National University
Bok Telescope	Astronomical Observatory	http://james.as.arizona.edu/~psmith/90inch/90inch.html	Kitt Peak, Arizona, US	 Steward Observatory	 Steward Observatory
UH88	Astronomical Observatory	http://www.ifa.hawaii.edu/88inch/	Hawaii, US	University's Institute for Astronomy	NASA
Leoncito Astronomical Comple	Astronomical Observatory	http://www.casleo.gov.ar/index-en.php	San Juan Province, Argentina	National Scientific and Technical Research Council	National Scientific and Technical Research Council
National Astronomical Observatory (Mexico)	Astronomical Observatory	http://www.astrossp.unam.mx/indexspm.html	"Sierra San Pedro Mártir,
Baja California state,
Northwestern Mexico."	National Autonomous University of Mexico (UNAM)	National Autonomous University of Mexico (UNAM)
Otto Struve Telescope	Astronomical Observatory	http://mcdonaldobservatory.org/research/telescopes/Struve	Davis Mountains, Texas, US	McDonald Observatory	Paterson-Leitch Company
Indian Astronomical Observatory (IAO)	Astronomical Observatory	https://www.iiap.res.in//centers/iao	Hanle, India	Indian Institute of Astrophysics, Bangalore	 Indian Institute of Astrophysics, Bangalore
Karl Schwarzschild Observatory	Astronomical Observatory	http://www.tls-tautenburg.de/TLS/index.php?id=2	Tautenburg, Thuringia	Thuringian State Observatory	 German Academy of Sciences at Berlin
Shamakhi Astrophysical Observatory	Astronomical Observatory	http://www.shao.az/	Pirkuli, Azerbaijan	National Academy of Sciences of Azerbaijan	National Academy of Sciences of Azerbaijan
Rozhen Observatory	Astronomical Observatory	http://www.nao-rozhen.org/	Chepelare, Bulgaria	Institute of Astronomy of the Bulgarian Academy of Sciences (BAS)	Institute of Astronomy of the Bulgarian Academy of Sciences (BAS)
Bernard Lyot Telescope	Astronomical Observatory	http://www.tbl.obs-mip.fr/	France 	Pic du Midi Observatory	NASA
Liverpool Telescope	Astronomical Observatory	http://telescope.livjm.ac.uk/	Canary Islands, Garafía, Spain 	Astrophysics Research Institute	 Liverpool John Moores University
Faulkes Telescope North	Astronomical Observatory	http://www.faulkes-telescope.com/	Hawaii, US	Las Cumbres Observatory Global Telescope	Las Cumbres Observatory Global Telescope
Faulkes Telescope South	Astronomical Observatory	http://www.faulkes-telescope.com/	New South Wales, Australia	Las Cumbres Observatory Global Telescope	Las Cumbres Observatory Global Telescope
Oak Ridge Observatory	Astronomical Observatory	http://tdc-www.harvard.edu/oakridge/oakridge/	Harvard, Massachusetts	Smithsonian Astrophysical Observatory (SAO)	Harvard University
Fred Lawrence Whipple Observator	Astronomical Observatory	http://linmax.sao.arizona.edu/help/FLWO/whipple.html	Mount Hopkins, Amado, US	Smithsonian Astrophysical Observatory (SAO)	Smithsonian Astrophysical Observatory (SAO)
Hipparcos	Space Observatory	http://sci.esa.int/hipparcos/	Space	ESA	
Wide-field Infrared Survey Explorer (WISE)	Space Telescope	https://www.nasa.gov/mission_pages/WISE/main/index.html	Space	NASA / JPL	
GEO600	Gravity Wave Observatory	http://www.geo600.org/	Sarstedt, Ruthe, Germany	Max Planck Institute for Gravitational Physics, Max Planck Institute of Quantum Optics and the Leibniz Universität Hannover	Max Planck Society and the Science and Technology Facilities Council (STFC)
Kamioka Gravitational Wave Detector (KAGRA)	Gravity Wave Observatory	http://gwcenter.icrr.u-tokyo.ac.jp/en/	Gifu Prefecture, Japan	Kamioka Observatory	Kamioka Observatory
Thai National Observatory (TNO)	Astronomical Observatory	http://www.narit.or.th/en/index.php/facilities/thai-national-observatory-tno/overview	 Chiang Mai, Thailand	National Astronomical Research Institute of Thailand	National Astronomical Research Institute of Thailand
Yunnan Astronomical Observatory	Astronomical Observatory	http://www.ynao.ac.cn/	Phoenix Hill, Kunming	Chinese Academy of Sciences	Chinese Academy of Sciences
T13 Automated Spectroscopic Telescope	Astronomical Observatory	http://schwab.tsuniv.edu/t13.html	Fairborn Observatory, Arizona, USA	NASA, NSF, and Tennessee State University	NASA, NSF, and Tennessee State University
Sloan Digital Sky Survey	Astronomical Observatory	http://www.sdss.org/	Apache Point Observatory, New Mexico, USA	Institutions, the National Science Foundation, and the U.S. Department of Energy Office of Science.	Alfred P. Sloan Foundation
Xinglong Station (NAOC)	Astronomical Observatory	http://www.xinglong-naoc.org/html/index.html	Yanshan, Hebei province, China	National Astronomical Observatory of China	National Astronomical Observatory of China
Guillermo Haro Observatory	Astronomical Observatory	http://astro.inaoep.mx/observatorios/cananea/	Cananea, Sonora, Mexico	National Institute of Astrophysics, Optics and Electronics	National Institute of Astrophysics, Optics and Electronics
Vainu Bappu Observatory	Astronomical Observatory	https://www.iiap.res.in//vbo/vbo.html	Kavalur, Vellore, Tamil Nadu, India	Indian Institute of Astrophysics	Indian Institute of Astrophysics
La Silla Observatory	Astronomical Observatory	http://www.ls.eso.org/index.html	Atacama Desert, Coquimbo Region, Chile	European Southern Observatory (ESO)	European Southern Observatory (ESO)
Byurakan Observatory	Astronomical Observatory	http://www.bao.am/	Mount Aragats, Armenia	Armenian Academy of Sciences	Armenian Academy of Sciences
Irenee du Pont Telescope	Astronomical Observatory	http://www.lco.cl/telescopes-information/irenee-du-pont	Atacama Region, Chile	Carnegie Institution for Science	Carnegie Institution for Science
Swope Telescope	Astronomical Observatory	http://www.lco.cl/telescopes-information/henrietta-swope	Atacama Region, Chile	Carnegie Institution for Science	Carnegie Institution for Science