"Rank","Root Domain","Linking Root Domains","Domain Authority"
"1","microsoft.com","3,928,631","100"
"2","www.google.com","10,939,491","100"
"3","apple.com","4,326,361","100"
"4","play.google.com","2,183,879","99"
"5","youtube.com","16,669,198","99"
"6","docs.google.com","2,092,332","99"
"7","www.blogger.com","23,344,572","99"
"8","support.google.com","4,030,236","99"
"9","plus.google.com","13,054,720","98"
"10","adobe.com","2,904,915","98"
"11","sites.google.com","1,577,609","98"
"12","accounts.google.com","2,521,450","98"
"13","en.wikipedia.org","5,262,583","98"
"14","mozilla.org","1,826,917","98"
"15","wordpress.org","9,068,893","98"
"16","linkedin.com","8,105,798","97"
"17","bp.blogspot.com","15,082,580","97"
"18","vimeo.com","2,980,299","97"
"19","maps.google.com","4,350,861","97"
"20","cloudflare.com","3,871,835","97"
"21","drive.google.com","1,566,569","97"
"22","googleusercontent.com","2,076,343","97"
"23","youtu.be","3,524,641","97"
"24","github.com","1,767,210","97"
"25","line.me","502,956","96"
"26","europa.eu","1,586,311","96"
"27","istockphoto.com","2,912,364","96"
"28","creativecommons.org","1,460,212","96"
"29","amazon.com","3,878,014","96"
"30","bbc.co.uk","1,385,091","96"
"31","vk.com","1,594,477","96"
"32","dailymotion.com","1,057,927","96"
"33","medium.com","1,000,440","96"
"34","live.com","723,864","96"
"35","feedburner.com","1,726,668","95"
"36","google.co.jp","624,777","95"
"37","google.de","1,098,018","95"
"38","google.es","403,688","95"
"39","buydomains.com","1,209,475","95"
"40","washingtonpost.com","831,563","95"
"41","forbes.com","870,656","95"
"42","google.fr","384,399","95"
"43","google.com.br","260,799","95"
"44","theguardian.com","1,149,498","95"
"45","bbc.com","607,227","95"
"46","cnn.com","1,168,776","95"
"47","es.wikipedia.org","734,839","95"
"48","hugedomains.com","5,369,532","95"
"49","reuters.com","698,716","95"
"50","myspace.com","1,279,495","95"
"51","mediafire.com","739,379","95"
"52","nih.gov","970,535","95"
"53","t.me","394,768","95"
"54","wikimedia.org","1,307,554","95"
"55","slideshare.net","840,912","95"
"56","developers.google.com","842,023","95"
"57","news.google.com","653,864","95"
"58","google.co.uk","551,767","95"
"59","mail.ru","484,933","95"
"60","dropbox.com","897,920","95"
"61","whatsapp.com","1,204,742","95"
"62","policies.google.com","963,919","95"
"63","facebook.com","43,847,886","95"
"64","imdb.com","1,213,751","95"
"65","gstatic.com","558,036","95"
"66","photos.google.com","223,756","95"
"67","paypal.com","850,512","95"
"68","nytimes.com","1,624,274","95"
"69","networkadvertising.org","741,911","95"
"70","www.yahoo.com","903,408","95"
"71","msn.com","972,588","95"
"72","mail.google.com","408,873","95"
"73","uol.com.br","525,831","95"
"74","w3.org","1,020,862","95"
"75","fr.wikipedia.org","502,539","95"
"76","pt.wikipedia.org","346,819","95"
"77","globo.com","373,260","95"
"78","books.google.com","332,165","94"
"79","amazon.co.jp","745,524","94"
"80","draft.blogger.com","5,260,626","94"
"81","de.wikipedia.org","581,185","94"
"82","hp.com","372,509","94"
"83","goo.gl","4,092,249","94"
"84","wsj.com","785,248","94"
"85","terra.com.br","186,768","94"
"86","twitter.com","47,133,491","94"
"87","bing.com","827,543","94"
"88","code.google.com","312,020","94"
"89","wired.com","519,178","94"
"90","oracle.com","487,988","94"
"91","gnu.org","536,989","94"
"92","www.wix.com","856,622","94"
"93","fb.com","308,386","94"
"94","bloomberg.com","633,719","94"
"95","cpanel.net","1,089,913","94"
"96","youronlinechoices.com","525,206","94"
"97","ok.ru","317,244","94"
"98","amazon.de","479,668","94"
"99","engadget.com","392,959","94"
"100","aol.com","636,480","94"
"101","aliexpress.com","436,281","94"
"102","ebay.com","882,867","94"
"103","techcrunch.com","372,550","94"
"104","www.gov.uk","439,453","94"
"105","telegraph.co.uk","760,672","94"
"106","independent.co.uk","500,549","94"
"107","pinterest.com","6,664,285","94"
"108","wikia.com","472,328","94"
"109","archive.org","816,339","94"
"110","opera.com","707,155","94"
"111","hatena.ne.jp","1,410,842","94"
"112","tinyurl.com","1,177,880","94"
"113","harvard.edu","542,264","94"
"114","google.ru","176,384","94"
"115","thesun.co.uk","238,990","94"
"116","rakuten.co.jp","569,177","94"
"117","nypost.com","261,608","94"
"118","foxnews.com","436,279","94"
"119","ipv4.google.com","362,270","94"
"120","translate.google.com","266,892","94"
"121","picasaweb.google.com","625,830","94"
"122","steampowered.com","198,175","94"
"123","amazon.co.uk","617,093","94"
"124","samsung.com","290,482","94"
"125","abril.com.br","221,297","94"
"126","google.it","405,634","94"
"127","soundcloud.com","1,503,881","94"
"128","myaccount.google.com","237,217","94"
"129","bit.ly","3,663,335","94"
"130","get.google.com","441,448","94"
"131","issuu.com","800,285","94"
"132","elpais.com","309,705","94"
"133","android.com","254,826","94"
"134","fandom.com","409,716","94"
"135","tools.google.com","1,435,701","94"
"136","aboutads.info","479,024","94"
"137","marketingplatform.google.com","721,698","94"
"138","lefigaro.fr","167,491","94"
"139","abcnews.go.com","454,421","94"
"140","usatoday.com","612,125","94"
"141","booking.com","344,814","94"
"142","scribd.com","611,612","94"
"143","dailymail.co.uk","759,987","94"
"144","news.yahoo.com","557,647","94"
"145","files.wordpress.com","1,932,869","94"
"146","telegram.me","247,212","94"
"147","ted.com","452,746","94"
"148","groups.google.com","298,701","94"
"149","plesk.com","615,981","94"
"150","nasa.gov","523,379","94"
"151","rt.com","223,594","94"
"152","ft.com","328,668","94"
"153","cnet.com","529,064","94"
"154","un.org","389,141","94"
"155","huffingtonpost.com","891,029","94"
"156","change.org","359,267","94"
"157","goodreads.com","614,804","93"
"158","guardian.co.uk","523,542","93"
"159","nature.com","405,048","93"
"160","so-net.ne.jp","175,179","93"
"161","namecheap.com","409,100","93"
"162","ovh.com","366,826","93"
"163","thetimes.co.uk","285,516","93"
"164","umich.edu","284,322","93"
"165","bp2.blogger.com","511,900","93"
"166","gmail.com","174,690","93"
"167","google.co.in","204,159","93"
"168","repubblica.it","163,322","93"
"169","google.ca","291,327","93"
"170","dan.com","1,095,394","93"
"171","windowsphone.com","123,387","93"
"172","ox.ac.uk","203,137","93"
"173","playstation.com","166,499","93"
"174","cnbc.com","356,180","93"
"175","news.com.au","247,990","93"
"176","corriere.it","133,680","93"
"177","rtve.es","135,572","93"
"178","disqus.com","917,449","93"
"179","vox.com","444,261","93"
"180","biglobe.ne.jp","222,412","93"
"181","nokia.com","154,601","93"
"182","godaddy.com","2,404,053","93"
"183","loc.gov","334,957","93"
"184","php.net","569,715","93"
"185","list-manage.com","575,454","93"
"186","google.com.tw","121,731","93"
"187","hollywoodreporter.com","206,928","93"
"188","chicagotribune.com","287,733","93"
"189","storage.googleapis.com","340,776","93"
"190","netflix.com","212,698","93"
"191","instructables.com","259,300","93"
"192","bp0.blogger.com","511,593","93"
"193","foursquare.com","229,161","93"
"194","channel4.com","141,504","93"
"195","intel.com","219,534","93"
"196","themeforest.net","458,206","93"
"197","picasa.google.com","241,875","93"
"198","venturebeat.com","163,098","93"
"199","mirror.co.uk","246,854","93"
"200","usnews.com","307,131","93"
"201","mega.nz","136,403","93"
"202","sapo.pt","207,203","93"
"203","mozilla.com","195,001","93"
"204","fb.me","220,280","93"
"205","lemonde.fr","212,090","93"
"206","yadi.sk","168,118","93"
"207","instagram.com","18,806,778","93"
"208","vice.com","283,261","93"
"209","alibaba.com","354,307","93"
"210","www.over-blog.com","239,295","93"
"211","id.wikipedia.org","370,320","93"
"212","sendspace.com","147,359","93"
"213","abc.net.au","307,860","93"
"214","ign.com","225,172","93"
"215","imageshack.us","789,153","93"
"216","walmart.com","252,491","93"
"217","urbandictionary.com","201,624","93"
"218","latimes.com","560,543","93"
"219","ru.wikipedia.org","362,727","93"
"220","mysql.com","364,582","93"
"221","www.wikipedia.org","490,876","93"
"222","goo.ne.jp","295,070","93"
"223","mashable.com","340,631","93"
"224","blackberry.com","134,234","93"
"225","netvibes.com","1,122,033","93"
"226","google.pl","204,662","93"
"227","rottentomatoes.com","191,776","93"
"228","ig.com.br","130,921","93"
"229","my.yahoo.com","1,106,120","93"
"230","gravatar.com","1,560,034","93"
"231","howstuffworks.com","248,814","93"
"232","businessinsider.com","534,298","93"
"233","whitehouse.gov","300,951","93"
"234","sciencemag.org","236,885","93"
"235","pbs.org","405,519","93"
"236","shutterstock.com","220,033","93"
"237","pl.wikipedia.org","126,339","93"
"238","webmd.com","494,716","93"
"239","bitly.com","282,614","93"
"240","ovh.co.uk","536,660","93"
"241","gooyaabitemplates.com","222,720","93"
"242","4shared.com","494,498","93"
"243","who.int","381,975","93"
"244","abc.es","151,705","93"
"245","bandcamp.com","492,001","93"
"246","ytimg.com","217,818","93"
"247","akamaihd.net","398,919","93"
"248","welt.de","153,615","93"
"249","nba.com","169,910","93"
"250","privacyshield.gov","398,652","93"
"251","cpanel.com","1,010,599","93"
"252","gofundme.com","225,282","93"
"253","economist.com","292,312","93"
"254","bund.de","467,406","93"
"255","disney.com","170,834","93"
"256","google.nl","213,052","93"
"257","cornell.edu","355,371","93"
"258","eventbrite.com","534,013","93"
"259","ovh.net","685,952","93"
"260","digg.com","809,783","93"
"261","newsweek.com","231,801","93"
"262","000webhost.com","322,579","93"
"263","wikihow.com","324,622","93"
"264","target.com","219,286","93"
"265","stanford.edu","487,369","93"
"266","ggpht.com","556,247","93"
"267","rambler.ru","245,681","93"
"268","theglobeandmail.com","213,402","93"
"269","bt.com","153,171","93"
"270","metro.co.uk","163,995","93"
"271","twitch.tv","255,306","93"
"272","viglink.com","266,176","93"
"273","columbia.edu","264,454","93"
"274","www.weebly.com","301,507","93"
"275","m.wikipedia.org","204,782","93"
"276","marriott.com","302,744","93"
"277","express.co.uk","188,491","93"
"278","search.google.com","730,791","93"
"279","ja.wikipedia.org","315,365","93"
"280","yale.edu","265,463","93"
"281","asus.com","133,209","93"
"282","kickstarter.com","401,830","93"
"283","berkeley.edu","368,119","93"
"284","adssettings.google.com","272,822","93"
"285","e-recht24.de","440,230","93"
"286","theverge.com","273,960","93"
"287","about.com","674,840","93"
"288","depositfiles.com","139,378","93"
"289","academia.edu","267,060","93"
"290","ibm.com","429,198","93"
"291","pixabay.com","242,015","93"
"292","weibo.com","1,421,907","93"
"293","allaboutcookies.org","353,642","93"
"294","gizmodo.com","336,686","93"
"295","elmundo.es","185,060","93"
"296","cambridge.org","196,159","93"
"297","ea.com","150,872","93"
"298","unesco.org","239,330","93"
"299","wp.com","895,857","93"
"300","surveymonkey.com","368,685","93"
"301","ikea.com","253,053","93"
"302","qq.com","3,896,768","93"
"303","cisco.com","196,758","93"
"304","espn.com","274,890","93"
"305","nationalgeographic.com","510,996","93"
"306","quora.com","285,366","93"
"307","npr.org","561,821","93"
"308","zdnet.com","232,694","93"
"309","it.wikipedia.org","274,346","93"
"310","stackoverflow.com","250,797","93"
"311","naver.jp","124,800","93"
"312","netsons.com","295,337","93"
"313","www.skyrock.com","10,743,785","93"
"314","lycos.com","697,535","93"
"315","search.yahoo.com","362,400","93"
"316","nydailynews.com","296,501","93"
"317","doubleclick.net","673,791","93"
"318","amazon.fr","210,223","93"
"319","yelp.com","771,125","93"
"320","finance.yahoo.com","348,484","93"
"321","ask.fm","235,931","93"
"322","yandex.ru","930,156","93"
"323","parallels.com","582,420","93"
"324","variety.com","188,627","93"
"325","example.com","272,342","93"
"326","photobucket.com","1,601,015","93"
"327","wa.me","203,940","93"
"328","yahoo.co.jp","606,222","93"
"329","smh.com.au","253,757","93"
"330","princeton.edu","256,030","93"
"331","indiatimes.com","313,308","93"
"332","iubenda.com","165,040","93"
"333","bp3.blogger.com","511,798","93"
"334","nvidia.com","130,606","93"
"335","britannica.com","240,902","93"
"336","naver.com","384,459","93"
"337","office.com","298,630","93"
"338","oup.com","277,427","93"
"339","googleblog.com","203,786","93"
"340","dw.com","200,819","93"
"341","cbsnews.com","412,451","93"
"342","buzzfeed.com","436,473","93"
"343","time.com","608,106","93"
"344","hm.com","149,553","93"
"345","google.co.id","125,567","93"
"346","tripadvisor.com","433,871","93"
"347","cbc.ca","334,398","93"
"348","xinhuanet.com","569,825","93"
"349","rapidshare.com","278,982","93"
"350","spotify.com","993,877","93"
"351","sky.com","173,057","93"
"352","huffpost.com","391,273","93"
"353","psychologytoday.com","249,397","93"
"354","ria.ru","156,267","93"
"355","nhk.or.jp","190,723","93"
"356","amazon.es","129,950","93"
"357","ietf.org","304,120","93"
"358","worldbank.org","190,190","93"
"359","xbox.com","131,173","93"
"360","theatlantic.com","401,729","93"
"361","addthis.com","718,113","93"
"362","spiegel.de","255,872","93"
"363","utexas.edu","224,094","93"
"364","bp1.blogger.com","512,044","93"
"365","addtoany.com","669,533","93"
"366","dell.com","202,710","93"
"367","sciencedirect.com","376,062","93"
"368","zendesk.com","375,243","93"
"369","mit.edu","534,934","93"
"370","shopify.com","951,308","93"
"371","cdc.gov","479,927","93"
"372","sedo.com","1,843,150","93"
"373","a8.net","401,389","93"
"374","box.com","222,094","93"
"375","secureserver.net","808,855","93"
"376","t.co","1,620,970","93"
"377","nginx.org","345,652","93"
"378","apache.org","745,258","93"
"379","photos1.blogger.com","801,444","93"
"380","sciencedaily.com","269,959","93"
"381","thestar.com","180,247","93"
"382","fastcompany.com","239,906","93"
"383","liveinternet.ru","261,306","92"
"384","home.pl","207,100","92"
"385","sputniknews.com","129,056","92"
"386","discovery.com","217,138","92"
"387","slate.com","299,547","92"
"388","bluehost.com","759,535","92"
"389","siemens.com","183,364","92"
"390","joomla.org","261,646","92"
"391","ebay.co.uk","206,101","92"
"392","digitaltrends.com","149,217","92"
"393","icann.org","301,805","92"
"394","thefreedictionary.com","183,954","92"
"395","feedproxy.google.com","743,858","92"
"396","scoop.it","310,356","92"
"397","lifehacker.com","198,653","92"
"398","go.co","292,904","92"
"399","calameo.com","143,879","92"
"400","house.gov","221,597","92"
"401","espn.go.com","225,707","92"
"402","people.com","186,136","92"
"403","fedoraproject.org","196,973","92"
"404","sina.com.cn","1,051,063","92"
"405","stores.jp","401,132","92"
"406","standard.co.uk","134,848","92"
"407","nifty.com","216,067","92"
"408","offset.com","560,877","92"
"409","daum.net","152,132","92"
"410","narod.ru","285,245","92"
"411","www.nhs.uk","153,847","92"
"412","adweek.com","155,760","92"
"413","apachefriends.org","192,826","92"
"414","behance.net","623,530","92"
"415","symantec.com","156,290","92"
"416","ndtv.com","141,128","92"
"417","state.gov","249,350","92"
"418","wisc.edu","237,403","92"
"419","steamcommunity.com","172,338","92"
"420","kinja.com","177,132","92"
"421","nginx.com","264,776","92"
"422","greenpeace.org","144,234","92"
"423","about.me","266,511","92"
"424","redhat.com","162,517","92"
"425","flickr.com","8,498,631","92"
"426","csmonitor.com","165,370","92"
"427","jimdofree.com","485,780","92"
"428","megaupload.com","242,042","92"
"429","livescience.com","201,607","92"
"430","ameblo.jp","699,638","92"
"431","dribbble.com","346,748","92"
"432","wiley.com","398,983","92"
"433","www.canalblog.com","383,834","92"
"434","wiktionary.org","228,097","92"
"435","thenextweb.com","161,647","92"
"436","newyorker.com","304,212","92"
"437","scientificamerican.com","232,951","92"
"438","thedailybeast.com","194,884","92"
"439","tmz.com","170,073","92"
"440","one.com","328,212","92"
"441","cocolog-nifty.com","178,720","92"
"442","xing.com","391,261","92"
"443","epa.gov","265,369","92"
"444","ieee.org","174,167","92"
"445","amzn.to","639,059","92"
"446","tabelog.com","135,951","92"
"447","answers.com","207,045","92"
"448","storify.com","247,006","92"
"449","answers.yahoo.com","184,486","92"
"450","seattletimes.com","177,508","92"
"451","mlb.com","197,184","92"
"452","entrepreneur.com","204,148","92"
"453","uiuc.edu","175,619","92"
"454","politico.com","190,946","92"
"455","fda.gov","256,368","92"
"456","video.google.com","205,520","92"
"457","ehow.com","227,255","92"
"458","fool.com","122,235","92"
"459","pastebin.com","161,023","92"
"460","quantcast.com","310,186","92"
"461","washington.edu","284,013","92"
"462","sports.yahoo.com","168,678","92"
"463","arstechnica.com","205,141","92"
"464","springer.com","326,611","92"
"465","newscientist.com","183,562","92"
"466","nikkei.com","150,989","92"
"467","excite.co.jp","482,396","92"
"468","merriam-webster.com","218,121","92"
"469","prezi.com","206,601","92"
"470","web.fc2.com","237,476","92"
"471","uspto.gov","126,675","92"
"472","usgs.gov","188,630","92"
"473","prnewswire.com","284,617","92"
"474","imgur.com","1,099,319","92"
"475","mayoclinic.org","247,244","92"
"476","calendar.google.com","140,605","92"
"477","storage.canalblog.com","268,469","92"
"478","amazon.ca","168,108","92"
"479","eonline.com","167,573","92"
"480","eff.org","128,560","92"
"481","home.neustar","322,746","92"
"482","fortune.com","206,215","92"
"483","histats.com","451,171","92"
"484","wattpad.com","174,101","92"
"485","mercurynews.com","151,760","92"
"486","indiegogo.com","205,334","92"
"487","ustream.tv","251,812","92"
"488","fifa.com","137,928","92"
"489","scmp.com","122,828","92"
"490","www.livejournal.com","2,417,076","92"
"491","ibtimes.com","152,766","92"
"492","jquery.com","150,798","92"
"493","usa.gov","160,527","92"
"494","ca.gov","349,465","92"
"495","groups.yahoo.com","308,808","92"
"496","alexa.com","274,709","92"
"497","pcmag.com","175,472","92"
"498","cmu.edu","193,466","92"
"499","vkontakte.ru","393,618","92"
"500","skype.com","328,638","92"
