name,number,link,TookOffice,Leftoffice,Party,HomeState
George Washington,1,http://en.wikipedia.org/wiki/George_Washington,04/30/1789,3/04/1797,Independent ,Virginia
John Adams,2,http://en.wikipedia.org/wiki/John_Adams,3/4/1797,03/04/1801,Federalist ,Massachusetts
Thomas Jefferson,3,http://en.wikipedia.org/wiki/Thomas_Jefferson,3/4/1801,03/04/1809,Democratic-Republican ,Virginia
James Madison,4,http://en.wikipedia.org/wiki/James_Madison,3/4/1809,03/04/1817,Democratic-Republican ,Virginia
James Monroe,5,http://en.wikipedia.org/wiki/James_Monroe,3/4/1817,03/04/1825,Democratic-Republican ,Virginia
John Quincy Adams,6,http://en.wikipedia.org/wiki/John_Quincy_Adams,3/4/1825,03/04/1829,Democratic-Republican/National Republican ,Massachusetts
Andrew Jackson,7,http://en.wikipedia.org/wiki/Andrew_Jackson,3/4/1829,03/04/1837,Democratic ,Tennessee
Martin Van Buren,8,http://en.wikipedia.org/wiki/Martin_Van_Buren,3/4/1837,03/04/1841,Democratic ,New York
William Henry Harrison,9,http://en.wikipedia.org/wiki/William_Henry_Harrison,3/4/1841,4/04/1841,Whig,Ohio
John Tyler,10,http://en.wikipedia.org/wiki/John_Tyler,3/4/1841,03/04/1845,Whig,Virginia
James K. Polk,11,http://en.wikipedia.org/wiki/James_K._Polk,3/4/1845,03/04/1849,Democratic ,Tennessee
Zachary Taylor,12,http://en.wikipedia.org/wiki/Zachary_Taylor,3/4/1849,7/9/1850,Whig,Louisiana
Millard Fillmore,13,http://en.wikipedia.org/wiki/Millard_Fillmore,7/9/1850,3/04/1853,Whig,New York
Franklin Pierce,14,http://en.wikipedia.org/wiki/Franklin_Pierce,3/4/1853,3/04/1857,Democratic ,New Hampshire
James Buchanan,15,http://en.wikipedia.org/wiki/James_Buchanan,3/4/1857,3/04/1861,Democratic ,Pennsylvania
Abraham Lincoln,16,http://en.wikipedia.org/wiki/Abraham_Lincoln,3/4/1861,4/15/1865,Republican/National Union,Illinois
Andrew Johnson,17,http://en.wikipedia.org/wiki/Andrew_Johnson,4/15/1865,3/04/1869,Democratic/National Union,Tennessee
Ulysses S. Grant,18,http://en.wikipedia.org/wiki/Ulysses_S._Grant,3/4/1869,3/04/1877,Republican ,Ohio
Rutherford B. Hayes,19,http://en.wikipedia.org/wiki/Rutherford_B._Hayes,3/4/1877,3/04/1881,Republican ,Ohio
James A. Garfield,20,http://en.wikipedia.org/wiki/James_A._Garfield,3/4/1881,9/19/1881,Republican ,Ohio
Chester A. Arthur,21,http://en.wikipedia.org/wiki/Chester_A._Arthur,9/19/1881,3/04/1885,Republican ,New York
Grover Cleveland,22,http://en.wikipedia.org/wiki/Grover_Cleveland,3/4/1885,3/04/1889,Democratic ,New York
Benjamin Harrison,23,http://en.wikipedia.org/wiki/Benjamin_Harrison,3/4/1889,3/04/1893,Republican ,Indiana
Grover Cleveland (2nd term),24,http://en.wikipedia.org/wiki/Grover_Cleveland,3/4/1893,3/04/1897,Democratic ,New York
William McKinley,25,http://en.wikipedia.org/wiki/William_McKinley,3/4/1897,9/14/1901,Republican ,Ohio
Theodore Roosevelt,26,http://en.wikipedia.org/wiki/Theodore_Roosevelt,9/14/1901,4/3/1909,Republican ,New York
William Howard Taft,27,http://en.wikipedia.org/wiki/William_Howard_Taft,3/4/1909,4/3/1913,Republican ,Ohio
Woodrow Wilson,28,http://en.wikipedia.org/wiki/Woodrow_Wilson,3/4/1913,4/3/1921,Democratic ,New Jersey
Warren G. Harding,29,http://en.wikipedia.org/wiki/Warren_G._Harding,3/4/1921,2/8/1923,Republican ,Ohio
Calvin Coolidge,30,http://en.wikipedia.org/wiki/Calvin_Coolidge,8/2/1923,4/3/1929,Republican ,Massachusetts
Herbert Hoover,31,http://en.wikipedia.org/wiki/Herbert_Hoover,3/4/1929,4/3/1933,Republican ,Iowa
Franklin D. Roosevelt,32,http://en.wikipedia.org/wiki/Franklin_D._Roosevelt,3/4/1933,4/12/1945,Democratic,New York
Harry S. Truman,33,http://en.wikipedia.org/wiki/Harry_S._Truman,4/12/1945,1/20/1953,Democratic,Missouri
Dwight D. Eisenhower,34,http://en.wikipedia.org/wiki/Dwight_D._Eisenhower,1/20/1953,1/20/1961,Republican ,Texas
John F. Kennedy,35,http://en.wikipedia.org/wiki/John_F._Kennedy,1/20/1961,11/22/1963,Democratic,Massachusetts
Lyndon B. Johnson,36,http://en.wikipedia.org/wiki/Lyndon_B._Johnson,11/22/1963,1/20/1969,Democratic,Texas
Richard Nixon,37,http://en.wikipedia.org/wiki/Richard_Nixon,1/20/1969,8/9/1974,Republican,California
Gerald Ford,38,http://en.wikipedia.org/wiki/Gerald_Ford,8/9/1974,1/20/1977,Republican,Michigan
Jimmy Carter,39,http://en.wikipedia.org/wiki/Jimmy_Carter,1/20/1977,1/20/1981,Democratic ,Georgia
Ronald Reagan,40,http://en.wikipedia.org/wiki/Ronald_Reagan,1/20/1981,1/20/1989,Republican ,California
George H. W. Bush,41,http://en.wikipedia.org/wiki/George_H._W._Bush,1/20/1989,1/20/1993,Republican ,Texas
Bill Clinton,42,http://en.wikipedia.org/wiki/Bill_Clinton,1/20/1993,1/20/2001,Democratic ,Arkansas
George W. Bush,43,http://en.wikipedia.org/wiki/George_W._Bush,1/20/2001,1/20/2009,Republican ,Texas
Barack Obama,44,http://en.wikipedia.org/wiki/Barack_Obama,1/20/2009,,  Democratic   ,Illinois